City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Likasi,-10.9814,26.7333,62.28,96,99,2.51,light rain
278,Vestmannaeyjar,63.4427,-20.2734,32.99,80,20,28.77,few clouds
279,Ponor,43.1637,22.4508,38.62,81,87,3.91,overcast clouds
280,Mizan Teferi,6.9833,35.5833,67.05,62,29,2.33,scattered clouds
281,Petropavlovsk-Kamchatskiy,53.0452,158.6483,9.19,72,75,2.24,broken clouds
282,Lakhnadon,22.6,79.6,59.67,24,0,0.04,clear sky
283,Poum,-20.2333,164.0167,81.66,77,99,14.34,overcast clouds
284,Te Anau,-45.4167,167.7167,44.35,93,36,1.01,scattered clouds
285,Srivardhan,18.0333,73.0167,72.43,65,0,7.38,clear sky
286,Arraial Do Cabo,-22.9661,-42.0278,82.36,74,40,13.8,scattered clouds
287,North Bend,43.4065,-124.2243,42.71,87,40,3.44,mist
288,Coquimbo,-29.9533,-71.3436,69.44,69,8,7.9,clear sky
289,Nizhniy Kuranakh,58.8353,125.4869,-25.6,100,100,2.64,overcast clouds
290,Zhigansk,66.7697,123.3711,-36.51,100,72,2.33,broken clouds
291,Havre-Saint-Pierre,50.2334,-63.5986,5.59,55,0,10.36,clear sky
292,Bartica,6.4,-58.6167,82.72,68,88,6.06,overcast clouds
293,Kutum,14.2,24.6667,66.18,12,6,9.08,clear sky
294,Yeppoon,-23.1333,150.7333,69.58,79,37,16.89,scattered clouds
295,Kaitangata,-46.2817,169.8464,46.29,94,21,3.09,few clouds
296,Leh,34.1667,77.5833,3.83,83,85,0.98,overcast clouds
297,Tuatapere,-46.1333,167.6833,43.83,92,10,5.19,clear sky
298,Praia Da Vitoria,38.7333,-27.0667,60.76,72,75,7.94,broken clouds
299,Bam,29.106,58.357,51.44,57,100,8.79,overcast clouds
300,Taltal,-25.4,-70.4833,71.69,68,13,8.55,few clouds
301,Mednogorsk,51.4128,57.595,16.95,97,100,10.54,overcast clouds
302,Atasu,48.6814,71.6433,26.28,96,100,13.29,light snow
303,Kendal,54.3268,-2.7476,47.84,97,100,10.87,overcast clouds
304,Basco,20.4487,121.9702,77.25,80,100,14.2,overcast clouds
305,Fortuna,40.5982,-124.1573,46.74,55,85,2.91,overcast clouds
306,Qadirpur Ran,30.2924,71.6712,58.89,36,1,8.39,clear sky
307,Harindanga,22.0383,88.3214,64.38,43,5,6.76,clear sky
308,Rawlins,41.7911,-107.2387,39.63,43,96,23.15,overcast clouds
309,Gebre Guracha,9.8,38.4,60.55,31,4,6.91,clear sky
310,Kyren,51.6828,102.1408,-6.95,96,99,1.21,overcast clouds
311,Leningradskiy,69.3833,178.4167,-17.34,94,95,5.99,overcast clouds
312,Tilichiki,60.4667,166.1,-19.44,93,7,9.91,clear sky
313,Quelimane,-17.8786,36.8883,76.1,90,100,3.71,overcast clouds
314,Okhotsk,59.3833,143.3,-14.55,80,1,10.76,clear sky
315,Challapata,-18.9,-66.7667,56.08,56,93,3.56,overcast clouds
316,Norman Wells,65.282,-126.8329,-14.76,70,75,8.05,broken clouds
317,Boa Vista,2.8197,-60.6733,89.58,45,75,16.11,broken clouds
318,Okha,53.5739,142.9478,-10.7,96,20,9.04,few clouds
319,The Pas,53.8251,-101.2541,5.02,72,100,4.61,overcast clouds
320,Eureka,40.8021,-124.1637,47.01,64,97,4.25,overcast clouds
321,Muli,2.9167,73.5667,81.93,77,100,15.08,light rain
322,Makat,47.6469,53.3463,21.61,91,6,13.09,clear sky
323,Nuuk,64.1835,-51.7216,9.88,92,100,11.01,overcast clouds
324,Narasannapeta,18.4167,84.05,66.24,53,7,3.89,clear sky
325,Isangel,-19.55,169.2667,78.91,94,75,4.61,broken clouds
326,Katherine,-14.4667,132.2667,77.32,88,85,4.61,overcast clouds
327,Tiksi,71.6872,128.8694,-13.52,94,14,11.65,few clouds
328,Aksha,50.2814,113.2867,-18.33,100,85,1.45,overcast clouds
329,San Andres,12.5847,-81.7006,86.02,66,40,16.11,scattered clouds
330,Bilma,18.6853,12.9164,71.02,10,0,6.24,clear sky
331,Buchanan,5.8808,-10.0467,84.16,79,40,8.16,scattered clouds
332,Ust-Ilimsk,58.0006,102.6619,-24.57,100,15,2.77,few clouds
333,Karratha,-20.7377,116.8463,84.65,63,87,9.48,overcast clouds
334,Xinmin,41.9908,122.8253,17.85,91,100,13.85,light snow
335,General Pico,-35.6566,-63.7568,79.9,24,0,10.49,clear sky
336,Kongoussi,13.3258,-1.5347,81.37,10,0,9.91,clear sky
337,Pampa,35.5362,-100.9599,57.56,24,0,4.61,clear sky
338,Codrington,-38.2667,141.9667,59.95,90,60,7.2,broken clouds
339,Lompoc,34.6391,-120.4579,85.57,26,0,8.05,clear sky
340,Alyangula,-13.8483,136.4192,73.27,100,6,0.0,clear sky
341,Monte Patria,-30.6919,-70.9467,82.22,37,0,11.5,clear sky
342,Olovyannaya,50.95,115.5667,-27.9,100,56,3.47,broken clouds
343,Nicoya,10.1483,-85.452,89.15,36,4,12.24,clear sky
344,Sept-Iles,50.2001,-66.3821,4.05,59,40,10.36,scattered clouds
345,Henties Bay,-22.116,14.2845,73.85,81,8,4.79,moderate rain
346,Port Lincoln,-34.7333,135.8667,65.64,88,84,10.89,broken clouds
347,Longyearbyen,78.2186,15.6401,13.84,92,75,2.3,light snow
348,Chapais,49.7834,-74.8492,-7.82,79,100,3.11,overcast clouds
349,Egvekinot,66.3167,-179.1667,-19.95,92,92,6.93,overcast clouds
350,Samarai,-10.6167,150.6667,80.1,76,45,6.17,scattered clouds
351,Juba,4.8517,31.5825,85.08,28,48,1.57,scattered clouds
352,Vilhena,-12.7406,-60.1458,71.82,94,75,2.3,thunderstorm with light rain
353,Mahasamund,21.1,82.1,62.87,24,2,2.89,clear sky
354,Waddan,29.1614,16.139,56.89,37,0,10.38,clear sky
355,Qianan,44.9932,124.0581,-0.13,95,100,7.7,overcast clouds
356,Faya,18.3851,42.4509,59.11,43,49,4.94,scattered clouds
357,Niquelandia,-14.4739,-48.4597,72.61,90,100,2.46,overcast clouds
358,Beroroha,-21.6667,45.1667,79.57,67,8,1.59,light rain
359,Matara,5.9485,80.5353,74.28,86,100,10.71,overcast clouds
360,Chiang Klang,19.2938,100.8617,65.34,48,10,1.88,clear sky
361,Honiara,-9.4333,159.95,78.01,86,97,4.27,overcast clouds
362,Harper,4.375,-7.7169,78.96,82,48,7.05,scattered clouds
363,Altamont,42.2068,-121.7372,53.78,56,94,1.99,overcast clouds
364,Humaita,-7.5061,-63.0208,80.35,89,100,3.53,light rain
365,Hovd,48.0056,91.6419,-13.13,81,15,2.51,few clouds
366,Lagoa,39.05,-27.9833,56.5,62,88,6.26,overcast clouds
367,Ust-Ishim,57.6935,71.1665,1.89,98,98,3.2,overcast clouds
368,Yashkul,46.1711,45.3435,32.86,57,0,6.91,clear sky
369,Ghotki,28.006,69.3161,65.43,21,0,8.37,clear sky
370,Punta Umbria,37.1821,-6.9661,60.24,67,100,10.25,overcast clouds
371,Pingliang,35.5392,106.6861,20.53,90,29,5.12,scattered clouds
372,Tiarei,-17.5333,-149.3333,86.02,76,88,16.84,light rain
373,Beringovskiy,63.05,179.3167,-27.9,97,11,5.79,few clouds
374,Tonekabon,36.8163,50.8738,48.15,85,100,2.04,overcast clouds
375,Saint-Augustin,51.226,-58.6502,3.81,72,3,13.4,clear sky
