City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Salalah,OM,17.0151,54.0924,77.09,38,0,3.44,clear sky
208,Mount Gambier,AU,-37.8333,140.7667,60.71,94,100,9.22,overcast clouds
209,Puerto Narino,CO,-3.7703,-70.3831,78.75,98,100,3.96,overcast clouds
210,Lokosovo,RU,61.1333,74.8167,-11.36,100,97,6.73,overcast clouds
211,Broome,US,42.2506,-75.833,24.62,60,100,11.5,overcast clouds
212,Namibe,AO,-15.1961,12.1522,75.52,80,100,3.24,overcast clouds
213,Karimganj,IN,24.8667,92.35,55.9,70,0,3.11,clear sky
214,Saldanha,ZA,-33.0117,17.9442,69.85,90,0,20.18,clear sky
215,Prince Rupert,CA,54.3161,-130.3201,42.89,87,100,19.57,overcast clouds
216,Cap Malheureux,MU,-19.9842,57.6142,81.46,78,90,7.0,overcast clouds
217,Avera,US,33.194,-82.5271,59.68,23,13,17.13,few clouds
218,Georgetown,MY,5.4112,100.3354,79.9,84,40,5.99,scattered clouds
219,Magrath,CA,49.4167,-112.8686,50.14,36,100,2.3,overcast clouds
220,Arvika,SE,59.6553,12.5852,41.7,92,100,11.12,overcast clouds
221,Vila,PT,42.0304,-8.1588,42.33,92,100,8.81,overcast clouds
222,Tarakan,ID,3.3,117.6333,76.5,94,40,0.0,scattered clouds
223,Alice Springs,AU,-23.7,133.8833,60.35,77,0,5.75,clear sky
224,Kupang,ID,-10.1667,123.5833,76.93,86,63,4.88,broken clouds
225,Talnakh,RU,69.4865,88.3972,-7.26,70,17,9.15,few clouds
226,Praia,CV,14.9215,-23.5087,75.74,64,0,18.41,clear sky
227,Komsomolskiy,UZ,40.4272,71.7189,38.12,87,75,4.61,mist
228,Forrest City,US,35.0081,-90.7898,42.58,37,0,14.47,clear sky
229,Kannauj,IN,27.0546,79.922,54.01,63,0,2.37,clear sky
230,Pemangkat,ID,1.1667,108.9667,78.3,86,97,1.74,overcast clouds
231,Illela,NG,13.7292,5.2975,78.33,10,75,9.26,broken clouds
232,La Ronge,CA,55.1001,-105.2842,8.85,72,20,10.36,few clouds
233,Baykit,RU,61.67,96.37,-16.76,100,96,3.71,overcast clouds
234,Palana,RU,59.1167,159.9667,-8.19,95,85,6.96,overcast clouds
235,Zuwarah,LY,32.9312,12.082,57.13,64,64,12.82,broken clouds
236,New Waterford,US,40.8451,-80.6145,27.14,64,100,1.99,overcast clouds
237,Ligayan,PH,4.6533,119.4706,81.88,76,99,12.55,overcast clouds
238,Longyearbyen,SJ,78.2186,15.6401,13.84,92,75,2.3,light snow
239,Dudinka,RU,69.4058,86.1778,-14.91,88,13,6.93,few clouds
240,Loandjili,CG,-4.7561,11.8578,82.51,78,40,5.75,thunderstorm
241,Shache,CN,38.4167,77.2406,31.71,46,2,6.08,clear sky
242,Kyaikkami,MM,16.08,97.5675,77.0,52,92,3.09,overcast clouds
243,Touros,BR,-5.1989,-35.4608,88.7,71,10,12.5,clear sky
244,Klaksvik,FO,62.2266,-6.589,34.72,66,100,30.33,overcast clouds
245,Saint-Augustin,CA,51.226,-58.6502,1.92,75,1,11.39,clear sky
246,Pangnirtung,CA,66.1451,-65.7125,-25.6,75,0,2.3,clear sky
247,Verkh-Chebula,RU,56.0308,87.6218,7.75,96,100,6.13,overcast clouds
248,Westport,US,41.1415,-73.3579,32.45,79,100,12.66,snow
249,Termoli,IT,41.9888,14.9895,46.58,75,80,5.41,broken clouds
250,Sioux Lookout,CA,50.1001,-91.917,-3.62,54,75,4.61,broken clouds
251,Penhold,CA,52.1334,-113.8687,42.93,52,0,8.05,clear sky
252,Dikson,RU,73.5069,80.5464,-4.09,87,100,25.34,overcast clouds
253,Tasiilaq,GL,65.6145,-37.6368,17.76,71,100,9.89,overcast clouds
254,Torbay,CA,47.6666,-52.7314,43.57,62,75,21.85,broken clouds
255,Diamantino,BR,-14.4086,-56.4461,80.94,78,93,1.95,moderate rain
256,Vila Velha,BR,-20.3297,-40.2925,82.35,82,75,13.8,broken clouds
257,Presidente Medici,BR,-11.1753,-61.9014,75.36,95,100,3.69,overcast clouds
258,Goderich,CA,43.7501,-81.7165,16.12,73,100,2.3,overcast clouds
259,Eureka,US,40.8021,-124.1637,45.21,65,82,5.01,broken clouds
260,Aklavik,CA,68.2191,-135.0107,-24.77,68,75,3.44,broken clouds
261,Vaiano,IT,43.949,11.1232,50.25,72,40,4.61,scattered clouds
262,Fortuna,US,40.5982,-124.1573,50.92,100,0,5.75,clear sky
263,Sun Valley,US,39.5963,-119.776,64.35,31,40,5.75,scattered clouds
264,Krasnoselkup,RU,65.7,82.4667,-1.8,92,62,13.0,broken clouds
265,Shingu,JP,33.7333,135.9833,45.91,87,100,4.81,overcast clouds
266,Palmer,US,42.1584,-72.3287,31.98,66,100,8.05,overcast clouds
267,Kavieng,PG,-2.5744,150.7967,80.74,78,96,6.8,overcast clouds
268,Gumla,IN,23.05,84.55,54.14,31,0,2.8,clear sky
269,Scottsbluff,US,41.8666,-103.6672,56.79,21,0,18.41,clear sky
270,Ornskoldsvik,SE,63.2909,18.7153,34.75,93,75,8.05,broken clouds
271,Wiang Sa,TH,8.6359,99.3666,80.67,93,62,1.57,broken clouds
272,Verkhnevilyuysk,RU,63.4453,120.3167,-22.04,100,100,2.04,overcast clouds
273,Saint George,US,37.1041,-113.5841,70.36,20,0,3.44,clear sky
274,Port Lincoln,AU,-34.7333,135.8667,65.95,85,92,9.98,overcast clouds
275,Revda,RU,56.801,59.9303,20.21,96,100,5.28,overcast clouds
276,Cidreira,BR,-30.1811,-50.2056,70.32,91,100,7.7,overcast clouds
277,Autazes,BR,-3.5797,-59.1306,85.23,65,76,3.91,broken clouds
278,Vung Tau,VN,10.346,107.0843,79.3,82,29,19.06,scattered clouds
279,Channel-Port Aux Basques,CA,47.5702,-59.1367,23.95,71,100,16.69,overcast clouds
280,Khatanga,RU,71.9667,102.5,-24.38,93,83,2.77,broken clouds
